id_toma,privada,tipo_ocupante,tipo_tarifa,consumo_base,domiciliado,incluye_alcantarillado,incluye_saneamiento,propension_mora,fecha_alta
T62DB418771,Los Fresnos,publico,publico,21.855700398677516,False,True,True,0.24836941111989175,2022-05-29
T516D296A99,Sin privada,domestico,domestico,8.056231730433755,False,True,True,0.23973473860528854,2023-09-27
TF6199DECCB,La Cañada,comercial,comercial,35.87913366599699,True,True,True,0.05996327163395008,2021-07-12
TBFDD3649BD,Villa Serena,domestico,domestico,14.433665737351395,True,True,True,0.39375812272087146,2022-09-02
T1A8F7C05C9,Villa Serena,domestico,domestico,7.2642333665287175,False,True,False,0.44333821114094235,2021-08-19
T6B4FC6C7C6,Sin privada,publico,publico,20.29464605908992,False,True,True,0.06723269646831082,2021-10-28
T6EE7490E19,Los Fresnos,domestico,domestico,12.914348180564302,False,True,True,0.38164393916006173,2020-03-31
T771EC6B537,Los Fresnos,domestico,domestico,4.929863196029718,False,True,True,0.13276985891418874,2019-06-26
TA87CD37475,La Cañada,domestico,domestico,20.596422038718377,False,True,True,0.03622023209930358,2019-08-02
T00048F12E2,Santa Teresa,domestico,domestico,9.388700376586934,False,True,True,0.12843400248511977,2023-02-20
TDE3B85E449,Sin privada,domestico,domestico,18.05731272307795,False,True,True,0.1218227844363169,2020-07-17
TDFD5EF1E2B,La Cañada,domestico,domestico,16.19081162839211,False,True,True,0.09178554470299177,2020-10-11
T6BE1C12D07,Sin privada,industrial,industrial,115.6100949615265,False,True,True,0.3835134268247149,2021-08-31
TE17C7596F7,Los Fresnos,domestico,domestico,13.847856923660297,False,True,True,0.45440627546173434,2019-05-14
TF0590D064A,Sin privada,domestico,domestico,10.078767307780836,False,True,True,0.2077608493191916,2019-09-23
T0201C8273D,San Miguel,domestico,domestico,10.04500324353337,False,False,True,0.3354489702767458,2021-09-28
T416D725964,Los Encinos,domestico,domestico,14.41110616112379,False,True,True,0.3396269906180923,2020-09-23
T592985E849,Los Fresnos,domestico,domestico,23.320197215683486,False,True,True,0.468829077438018,2022-07-16
T8CFD079CB6,Sin privada,domestico,domestico,13.628343170570735,False,True,True,0.23424331355878356,2021-09-20
TD10A6EDCA0,La Noria,comercial,comercial,21.6701708230573,False,True,True,0.23784441706819545,2021-08-10
T0CE7987E4B,Sin privada,comercial,comercial,73.35477697659725,False,True,True,0.10606156849379965,2020-05-12
T0F12629295,Los Fresnos,domestico,domestico,3.6031560112721905,False,True,True,0.18851318436670514,2020-02-01
T7833B36159,Sin privada,domestico,domestico,15.398799694385225,True,True,True,0.3810182425949249,2022-06-10
T997FF51E88,La Cañada,domestico,domestico,9.754785296440588,True,True,False,0.5094804644215356,2019-08-24
TB0AFAFC426,Las Palmas,publico,publico,47.376760813442985,False,True,True,0.428355275147369,2021-03-29
T4B2228F178,Villa Serena,domestico,domestico,17.58157861795676,True,True,True,0.6072386569504054,2021-01-17
